Time,Lambda_1,MP_Bound,Gamma,Nu_eff,Outlier_Count,Synthetic_Stress,d_Gamma,d_Stress
250,2.5108404608570263,2.6649110640673523,-0.15407060321032606,0.5000000000000002,0,0.6455630947677798,,
251,2.5051574932030114,2.6649110640673523,-0.15975357086434094,0.5,0,0.7854412759699484,-0.005682967654014881,0.13987818120216855
252,2.4938063695086257,2.6649110640673523,-0.17110469455872668,0.5000000000000001,0,0.7813786587798383,-0.011351123694385734,-0.0040626171901101404
253,2.4864559229877434,2.6649110640673523,-0.17845514107960891,0.49999999999999994,0,0.7774236778957612,-0.007350446520882237,-0.003954980884077086
254,2.488320276730385,2.6649110640673523,-0.1765907873369672,0.5,0,0.8002006327193492,0.0018643537426417112,0.02277695482358799
255,2.489428377218181,2.6649110640673523,-0.17548268684917145,0.5,0,0.815119527636922,0.001108100487795749,0.014918894917572811
256,2.491939355534129,2.6649110640673523,-0.1729717085332232,0.49999999999999994,0,0.7400107974780709,0.0025109783159482646,-0.07510873015885111
257,2.5024922259444473,2.6649110640673523,-0.16241883812290503,0.5000000000000001,0,0.8218093876647883,0.01055287041031816,0.08179859018671742
258,2.5217042829479572,2.6649110640673523,-0.1432067811193951,0.5,0,0.8511006366228436,0.01921205700350992,0.02929124895805535
259,2.50895697633741,2.6649110640673523,-0.15595408772994235,0.49999999999999983,0,0.8197132425869197,-0.012747306610547238,-0.03138739403592394
260,2.5070616915493886,2.6649110640673523,-0.15784937251796372,0.49999999999999994,0,0.8678431027550321,-0.0018952847880213675,0.04812986016811238
261,2.488267413985942,2.6649110640673523,-0.17664365008141036,0.5000000000000001,0,0.8215426807289201,-0.01879427756344665,-0.046300422026111954
262,2.4864853662665403,2.6649110640673523,-0.17842569780081208,0.5000000000000001,0,0.7092966522306824,-0.0017820477194017137,-0.11224602849823773
263,2.434482998384338,2.6649110640673523,-0.23042806568301444,0.5000000000000001,0,0.7203907996507718,-0.05200236788220236,0.011094147420089406
264,2.4348974533560614,2.6649110640673523,-0.2300136107112909,0.49999999999999994,0,0.8257452513202972,0.0004144549717235435,0.1053544516695254
265,2.439545557542291,2.6649110640673523,-0.2253655065250615,0.5,0,0.8189386677965164,0.004648104186229407,-0.006806583523780829
266,2.4312665292099833,2.6649110640673523,-0.23364453485736902,0.49999999999999994,0,0.8259500294290757,-0.008279028332307536,0.007011361632559332
267,2.4342527415177364,2.6649110640673523,-0.23065832254961594,0.5,0,0.7938849674375424,0.002986212307753089,-0.03206506199153325
268,2.442412945849592,2.6649110640673523,-0.22249811821776033,0.5000000000000001,0,0.7916235338017893,0.008160204331855603,-0.0022614336357531517
269,2.4308856592120534,2.6649110640673523,-0.234025404855299,0.49999999999999994,0,0.8126218390191505,-0.011527286637538658,0.020998305217361235
270,2.4309819796296144,2.6649110640673523,-0.23392908443773797,0.5000000000000001,0,0.8010718134853876,9.632041756102439e-05,-0.011550025533762942
271,2.4494421965955127,2.6649110640673523,-0.2154688674718397,0.5,0,0.7898134176044218,0.01846021696589828,-0.011258395880965777
272,2.4921306546886597,2.6649110640673523,-0.17278040937869266,0.5000000000000001,0,0.8532884038133659,0.04268845809314703,0.0634749862089441
273,2.507186036119853,2.6649110640673523,-0.15772502794749954,0.49999999999999983,0,0.7903661575679244,0.015055381431193116,-0.06292224624544152
274,2.5144809721864085,2.6649110640673523,-0.1504300918809438,0.49999999999999983,0,0.8668720593636077,0.007294936066555735,0.07650590179568328
275,2.498233356220038,2.6649110640673523,-0.1666777078473145,0.5000000000000001,0,0.8447786539438675,-0.0162476159663707,-0.022093405419740142
276,2.538158659701816,2.6649110640673523,-0.12675240436553636,0.5,0,0.8495131449565229,0.03992530348177814,0.004734491012655329
277,2.5600295981221937,2.6649110640673523,-0.10488146594515868,0.5000000000000002,0,0.7751416748543899,0.021870938420377684,-0.07437147010213296
278,2.5513578037521167,2.6649110640673523,-0.1135532603152356,0.5,0,0.789717001453706,-0.008671794370076924,0.014575326599316152
279,2.549880604408589,2.6649110640673523,-0.11503045965876346,0.49999999999999983,0,0.7479975642496541,-0.0014771993435278574,-0.04171943720405191
280,2.5507143866043753,2.6649110640673523,-0.11419667746297701,0.5,0,0.8195726409858392,0.0008337821957864477,0.07157507673618502
281,2.550471609231763,2.6649110640673523,-0.11443945483558915,0.5,0,0.813144613532244,-0.00024277737261213517,-0.006428027453595164
282,2.546060482271231,2.6649110640673523,-0.11885058179612118,0.5000000000000001,0,0.8100770962077267,-0.00441112696053203,-0.003067517324517266
283,2.588014415286543,2.6649110640673523,-0.07689664878080915,0.5000000000000001,0,0.7409342541290513,0.04195393301531203,-0.06914284207867538
284,2.579033539204371,2.6649110640673523,-0.0858775248629815,0.5000000000000001,0,0.7919038870176022,-0.008980876082172351,0.05096963288855083
285,2.55635796306923,2.6649110640673523,-0.10855310099812243,0.5,0,0.7963560002291729,-0.02267557613514093,0.004452113211570685
286,2.5571571124656103,2.6649110640673523,-0.10775395160174206,0.49999999999999994,0,0.7941279734982223,0.000799149396380372,-0.002228026730950572
287,2.557581969245221,2.6649110640673523,-0.10732909482213149,0.5,0,0.815974486610598,0.0004248567796105718,0.02184651311237573
288,2.5214284229535604,2.6649110640673523,-0.14348264111379194,0.5,0,0.755354923959662,-0.036153546291660454,-0.06061956265093604
289,2.5261881391150167,2.6649110640673523,-0.13872292495233562,0.5,0,0.7995595827329872,0.004759716161456318,0.044204658773325245
290,2.5759734583210703,2.6649110640673523,-0.08893760574628207,0.5000000000000001,0,0.7580003964821688,0.04978531920605356,-0.04155918625081845
291,2.579203300590259,2.6649110640673523,-0.0857077634770933,0.5,0,0.8137882033086372,0.003229842269188765,0.055787806826468445
292,2.591598454147112,2.6649110640673523,-0.07331260992024013,0.49999999999999994,0,0.825444277441109,0.012395153556853167,0.011656074132471828
293,2.5926189111572366,2.6649110640673523,-0.0722921529101157,0.5000000000000001,0,0.8336715645836003,0.0010204570101244315,0.008227287142491213
294,2.593051638365126,2.6649110640673523,-0.07185942570222625,0.5,0,0.8602186955188865,0.0004327272078894495,0.026547130935286267
